"Compensation","Name","Position","Date","Year","College"
319926,"Lorraine Arvin ","Vp And Treasurer",2019-06-01,2019,"Reed College"
233915,"Nigel J Nicholson ","Dean Of The Faculty",2019-06-01,2019,"Reed College"
224923,"Michael Brody ","Vp & Dean Of Student Services",2019-06-01,2019,"Reed College"
192009,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2019-06-01,2019,"Reed College"
171046,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2019-06-01,2019,"Reed College"
170795,"Mary James ","Dean For Institutional Diversity And Aa Knowlton Professor Of Physics",2019-06-01,2019,"Reed College"
170197,"Myron Angell ","Director Of Facilities Operations",2019-06-01,2019,"Reed College"
166411,"Martin Ringle ","Chief Information Officer",2019-06-01,2019,"Reed College"
158107,"Robert Tust ","Associate Treasurer & Controller",2019-06-01,2019,"Reed College"
0,"Dr Julia P Adams '80 ","Trustee",2019-06-01,2019,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2019-06-01,2019,"Reed College"
0,"Stephen E Babson ","Trustee",2019-06-01,2019,"Reed College"
0,"Matthew P Bergman '84 ","Trustee",2019-06-01,2019,"Reed College"
0,"Timothy P Boyle ","Trustee",2019-06-01,2019,"Reed College"
0,"M Jane Buchan ","Trustee",2019-06-01,2019,"Reed College"
0,"C Morris Copeland '82 ","Trustee",2019-06-01,2019,"Reed College"
0,"Thomas O Daniel Md ","Trustee",2019-06-01,2019,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2019-06-01,2019,"Reed College"
0,"Kurt D Delbene ","Trustee",2019-06-01,2019,"Reed College"
0,"Scott E Foster '77 ","Trustee",2019-06-01,2019,"Reed College"
0,"Nicholas Galakatos '79 ","Trustee",2019-06-01,2019,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2019-06-01,2019,"Reed College"
0,"Edward Hall '87 ","Trustee",2019-06-01,2019,"Reed College"
452864,"John R Kroger ","President",2018-06-01,2018,"Reed College"
309530,"Hugh Porter ","Vp/College Relations",2018-06-01,2018,"Reed College"
307365,"Lorraine Arvin ","Vp And Treasurer",2018-06-01,2018,"Reed College"
225596,"Nigel J Nicholson ","Dean Of The Faculty",2018-06-01,2018,"Reed College"
214343,"Michael Brody ","Vp & Dean Of Student Services",2018-06-01,2018,"Reed College"
184621,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2018-06-01,2018,"Reed College"
166151,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2018-06-01,2018,"Reed College"
164807,"Myron Angell ","Director Of Facilities Operations",2018-06-01,2018,"Reed College"
163171,"Martin Ringle ","Chief Information Officer",2018-06-01,2018,"Reed College"
154678,"Mary James ","Dean For Institutional Diversity And Aa Knowlton Professor Of Physics",2018-06-01,2018,"Reed College"
152259,"Christine Pearson ","Director Of Principal Gifts",2018-06-01,2018,"Reed College"
0,"Dr Julia P Adams '80 ","Trustee",2018-06-01,2018,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2018-06-01,2018,"Reed College"
0,"Stephen E Babson ","Trustee",2018-06-01,2018,"Reed College"
0,"Matthew P Bergman '84 ","Trustee",2018-06-01,2018,"Reed College"
0,"Timothy P Boyle ","Trustee",2018-06-01,2018,"Reed College"
0,"M Jane Buchan ","Trustee",2018-06-01,2018,"Reed College"
0,"C Morris Copeland '82 ","Trustee",2018-06-01,2018,"Reed College"
0,"Thomas O Daniel Md ","Trustee",2018-06-01,2018,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2018-06-01,2018,"Reed College"
0,"Kurt D Delbene ","Trustee",2018-06-01,2018,"Reed College"
0,"Scott E Foster '77 ","Trustee",2018-06-01,2018,"Reed College"
0,"Nicholas Galakatos '79 ","Trustee",2018-06-01,2018,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2018-06-01,2018,"Reed College"
0,"Edward Hall '87 ","Trustee",2018-06-01,2018,"Reed College"
433782,"John R Kroger ","President",2017-06-01,2017,"Reed College"
299447,"Hugh Porter ","Vp/College Relations",2017-06-01,2017,"Reed College"
290732,"Lorraine Arvin ","Vp And Treasurer",2017-06-01,2017,"Reed College"
215232,"Nigel J Nicholson ","Dean Of The Faculty",2017-06-01,2017,"Reed College"
202271,"Michael Brody ","Vp & Dean Of Student Services",2017-06-01,2017,"Reed College"
176803,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2017-06-01,2017,"Reed College"
172458,"Martin Ringle ","Chief Tech Officer",2017-06-01,2017,"Reed College"
166598,"James Pommersheim ","Professor",2017-06-01,2017,"Reed College"
166301,"Jan E Kurtz ","Director Of Development",2017-06-01,2017,"Reed College"
161364,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2017-06-01,2017,"Reed College"
159233,"Myron Angell ","Director Of Facilities Operations",2017-06-01,2017,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2017-06-01,2017,"Reed College"
0,"Stephen E Babson ","Trustee",2017-06-01,2017,"Reed College"
0,"Matthew P Bergman '84 ","Trustee",2017-06-01,2017,"Reed College"
0,"Timothy P Boyle ","Trustee",2017-06-01,2017,"Reed College"
0,"M Jane Buchan ","Trustee",2017-06-01,2017,"Reed College"
0,"Suzanne Cassidy Md '65 ","Trustee",2017-06-01,2017,"Reed College"
0,"C Morris Copeland '82 ","Trustee",2017-06-01,2017,"Reed College"
0,"Thomas O Daniel Md ","Trustee",2017-06-01,2017,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2017-06-01,2017,"Reed College"
0,"Kurt D Delbene ","Trustee",2017-06-01,2017,"Reed College"
0,"Donald Engelman '62 ","Trustee",2017-06-01,2017,"Reed College"
0,"Scott E Foster '77 ","Trustee",2017-06-01,2017,"Reed College"
0,"Nicholas Galakatos '79 ","Trustee",2017-06-01,2017,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2017-06-01,2017,"Reed College"
412750,"John R Kroger ","President",2016-06-01,2016,"Reed College"
290357,"Hugh Porter ","Vp/College Relations",2016-06-01,2016,"Reed College"
271860,"Lorraine Arvin ","Vp And Treasurer",2016-06-01,2016,"Reed College"
206168,"Nigel J Nicholson ","Dean Of The Faculty",2016-06-01,2016,"Reed College"
202677,"Martin Ringle ","Chief Tech Officer",2016-06-01,2016,"Reed College"
191093,"Michael Brody ","Vp & Dean Of Student Services",2016-06-01,2016,"Reed College"
171616,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2016-06-01,2016,"Reed College"
159092,"Tracy Frantel ","Controller",2016-06-01,2016,"Reed College"
158567,"Jan E Kurtz ","Director Of Development",2016-06-01,2016,"Reed College"
157790,"James Pommersheim ","Professor",2016-06-01,2016,"Reed College"
156437,"Amanda Heaton ","Executive Director Of Communications And Public Affairs",2016-06-01,2016,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2016-06-01,2016,"Reed College"
0,"Stephen E Babson ","Trustee",2016-06-01,2016,"Reed College"
0,"Matthew P Bergman '84 ","Trustee",2016-06-01,2016,"Reed College"
0,"Timothy Boyle ","Trustee",2016-06-01,2016,"Reed College"
0,"M Jane Buchan ","Trustee",2016-06-01,2016,"Reed College"
0,"Suzanne Cassidy Md '65 ","Trustee",2016-06-01,2016,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2016-06-01,2016,"Reed College"
0,"Kurt D Delbene ","Trustee",2016-06-01,2016,"Reed College"
0,"Donald Engelman '62 ","Trustee",2016-06-01,2016,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2016-06-01,2016,"Reed College"
0,"Dennis Henner ","Trustee",2016-06-01,2016,"Reed College"
0,"Linda G Howard '70 ","Trustee",2016-06-01,2016,"Reed College"
0,"Jay M Hubert '66 ","Trustee",2016-06-01,2016,"Reed College"
0,"George M James '77 ","Trustee",2016-06-01,2016,"Reed College"
394129,"John R Kroger ","President",2015-06-01,2015,"Reed College"
280356,"Hugh Porter ","Vp/College Relations",2015-06-01,2015,"Reed College"
237324,"Lorraine Arvin ","Vp And Treasurer",2015-06-01,2015,"Reed College"
214978,"Martin Ringle ","Chief Tech Officer",2015-06-01,2015,"Reed College"
198228,"Nigel J Nicholson ","Dean Of The Faculty",2015-06-01,2015,"Reed College"
182123,"Michael Brody ","Vp & Dean Of Student Services",2015-06-01,2015,"Reed College"
154355,"Jan E Kurtz ","Director Of Development",2015-06-01,2015,"Reed College"
152603,"Mary James ","Dean For Institutional Diversity",2015-06-01,2015,"Reed College"
151204,"Tracy Frantel ","Controller",2015-06-01,2015,"Reed College"
150100,"Edwin O Mcfarlane ","Vp/Treasurer",2015-06-01,2015,"Reed College"
145806,"M Townsend Angell ","Director Of Facilities Operations",2015-06-01,2015,"Reed College"
63185,"Milyon Trulove ","Vp And Dean Of Admission And Financial Aid",2015-06-01,2015,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2015-06-01,2015,"Reed College"
0,"Stephen E Babson ","Trustee",2015-06-01,2015,"Reed College"
0,"Matthew P Bergman '84 ","Trustee",2015-06-01,2015,"Reed College"
0,"Timothy Boyle ","Trustee",2015-06-01,2015,"Reed College"
0,"M Jane Buchan ","Trustee",2015-06-01,2015,"Reed College"
0,"Suzanne Cassidy Md '65 ","Trustee",2015-06-01,2015,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2015-06-01,2015,"Reed College"
0,"Kurt D Delbene ","Trustee",2015-06-01,2015,"Reed College"
0,"Donald Engelman '62 ","Trustee",2015-06-01,2015,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2015-06-01,2015,"Reed College"
0,"Dennis Henner ","Trustee",2015-06-01,2015,"Reed College"
0,"Linda G Howard '70 ","Trustee",2015-06-01,2015,"Reed College"
0,"Jay M Hubert '66 ","Trustee",2015-06-01,2015,"Reed College"
381690,"John R Kroger ","President",2014-06-01,2014,"Reed College"
260771,"Hugh Porter ","Vp/College Relations",2014-06-01,2014,"Reed College"
251748,"Edwin O Mcfarlane ","Vp/Treasurer",2014-06-01,2014,"Reed College"
210634,"Colin S Diver ","Former President",2014-06-01,2014,"Reed College"
176376,"Michael Brody ","Vp & Dean Of Student Services",2014-06-01,2014,"Reed College"
176156,"Nigel J Nicholson ","Dean Of The Faculty",2014-06-01,2014,"Reed College"
172453,"Martin Ringle ","Chief Tech Officer",2014-06-01,2014,"Reed College"
166648,"Keith Todd ","Dean Of Admission",2014-06-01,2014,"Reed College"
149241,"Jan E Kurtz ","Director Of Development",2014-06-01,2014,"Reed College"
147207,"Lisa M Steinman ","Professor",2014-06-01,2014,"Reed College"
146559,"Tracy L Frantel ","Controller",2014-06-01,2014,"Reed College"
134890,"Patrick G Mcdougal ","Vp/Dean Of The Faculty",2014-06-01,2014,"Reed College"
0,"Konrad S Alt '81 ","Trustee",2014-06-01,2014,"Reed College"
0,"John D Bergholz '83 ","Trustee",2014-06-01,2014,"Reed College"
0,"Matthew P Bergman '84 ","Trustee",2014-06-01,2014,"Reed College"
0,"Timothy Boyle ","Trustee",2014-06-01,2014,"Reed College"
0,"M Jane Buchan ","Trustee",2014-06-01,2014,"Reed College"
0,"Suzanne Cassidy Md '65 ","Trustee",2014-06-01,2014,"Reed College"
0,"Richard J Danzig '65 ","Trustee",2014-06-01,2014,"Reed College"
0,"Kurt D Delbene '62 ","Trustee",2014-06-01,2014,"Reed College"
0,"Donald Engelman '62 ","Trustee",2014-06-01,2014,"Reed College"
0,"Jody Hoffer Gittel '84 ","Trustee",2014-06-01,2014,"Reed College"
0,"Daniel B Greenberg '62 ","Trustee",2014-06-01,2014,"Reed College"
0,"Dennis Henner ","Trustee",2014-06-01,2014,"Reed College"
0,"Linda G Howard '70 ","Trustee",2014-06-01,2014,"Reed College"
645121,"Jun Yang ","Chief Investment Officer",2022-06-01,2022,"Oberlin College"
512585,"Carmen Twillie Ambar ","President",2022-06-01,2022,"Oberlin College"
248577,"Michael Grzesiak ","Vp, Development & Alumni Affairs",2022-06-01,2022,"Oberlin College"
239966,"David Kamitsuka ","Dean Of Arts & Sciences",2022-06-01,2022,"Oberlin College"
228692,"Rebecca D Vazquez-Skillings ","Vp, Finance & Administration",2022-06-01,2022,"Oberlin College"
222634,"William Quillen ","Dean Of Conservatory",2022-06-01,2022,"Oberlin College"
217807,"David Hertz ","Chief Of Staff",2022-06-01,2022,"Oberlin College"
209406,"Benjamin R Hockenhull ","Chief Information Technology Officer",2022-06-01,2022,"Oberlin College"
208943,"John V Duca ","Professor",2022-06-01,2022,"Oberlin College"
192497,"Kevin Brown ","Chief Facilities Officer",2022-06-01,2022,"Oberlin College"
188610,"Nicole Addington Associate ","Vp For Finance Until Aug 2021",2022-06-01,2022,"Oberlin College"
182505,"Manuel Carballo ","Vp, Dean Of Admissions & Fin. Aid",2022-06-01,2022,"Oberlin College"
178230,"Jeffrey Witmer ","Professor",2022-06-01,2022,"Oberlin College"
174949,"Meredith L Raimondo Vp ","Dean Of Students Until Feb 2022",2022-06-01,2022,"Oberlin College"
172965,"Peter Slowik ","Professor",2022-06-01,2022,"Oberlin College"
171025,"Peter Takacs ","Professor",2022-06-01,2022,"Oberlin College"
