"Compensation","Name","Position","Date","Year","College"
177718,"Carmen Twillie Ambar ","President",2018-06-01,2018,"Oberlin College"
176820,"David G Kamitsuka ","Professor",2018-06-01,2018,"Oberlin College"
174740,"Meredith L Raimondo ","Interim Vp/Dean-Student Life & Services",2018-06-01,2018,"Oberlin College"
172102,"Jeffrey A Witmer ","Professor",2018-06-01,2018,"Oberlin College"
170813,"Peter A Takacs ","Professor",2018-06-01,2018,"Oberlin College"
162826,"Mary Jo Diekman ","Assoc Vp For Finance",2018-06-01,2018,"Oberlin College"
161524,"Alan J Norton ","Interim Vp For Finance",2018-06-01,2018,"Oberlin College"
158655,"Joyce Babyak ","Acting Dean-Arts&Sciences/Assoc Dean A&S",2018-06-01,2018,"Oberlin College"
151259,"Mark R Bates ","Assoc Vp For Finance",2018-06-01,2018,"Oberlin College"
149051,"Michael L Frandsen ","Vp For Finance",2018-06-01,2018,"Oberlin College"
133152,"James S Klaiber ","Controller",2018-06-01,2018,"Oberlin College"
113698,"Heidi Pycraft ","Controller",2018-06-01,2018,"Oberlin College"
596825,"Jainen Thayer ","Chief Investment Officer",2017-06-01,2017,"Oberlin College"
483903,"Marvin Krislov ","President",2017-06-01,2017,"Oberlin College"
316016,"William E Barlow ","Vp Of Devel./Alumni Affairs",2017-06-01,2017,"Oberlin College"
260341,"Michael L Frandsen ","Vp For Finance",2017-06-01,2017,"Oberlin College"
238329,"Marcia E Miller ","Director Of Investments",2017-06-01,2017,"Oberlin College"
234627,"Andrea E Kalyn ","Dean Of Conservatory",2017-06-01,2017,"Oberlin College"
220202,"Sandhya S Iyer ","Vp, General Counsel & Secy.",2017-06-01,2017,"Oberlin College"
219866,"Timothy E Elgren ","Dean Of Arts & Sciences",2017-06-01,2017,"Oberlin College"
201728,"Mark R Bates ","Assoc. Vp For Finance",2017-06-01,2017,"Oberlin College"
200794,"Harry N Hirsch ","Professor",2017-06-01,2017,"Oberlin College"
199136,"Clayton R Koppes ","Professor",2017-06-01,2017,"Oberlin College"
193076,"Steven F Wojtal ","Professor",2017-06-01,2017,"Oberlin College"
189863,"Debra J Chermonte ","Dean Of Admissions & Fin. Aid",2017-06-01,2017,"Oberlin College"
184830,"Michael M Nolan ","Assoc Vp Devel/Dir Princ Gift",2017-06-01,2017,"Oberlin College"
181570,"John E Bucher ","Chief Technology Officer",2017-06-01,2017,"Oberlin College"
150597,"Meredith L Raimondo ","Interim Vp/Dean Student Life & Svcs",2017-06-01,2017,"Oberlin College"
120248,"Mary Jo Diekman ","Assoc. Vp For Finance",2017-06-01,2017,"Oberlin College"
114085,"Heidi Pycraft ","Controller",2017-06-01,2017,"Oberlin College"
0,"Clyde S Mcgregor ","Trustee",2017-06-01,2017,"Oberlin College"
0,"Charles S Birenbaum ","Trustee",2017-06-01,2017,"Oberlin College"
0,"Richard T Brandt ","Trustee",2017-06-01,2017,"Oberlin College"
0,"T Christopher Canavan ","Trustee",2017-06-01,2017,"Oberlin College"
0,"Anne Chege ","Trustee",2017-06-01,2017,"Oberlin College"
0,"Amy Chen ","Trustee",2017-06-01,2017,"Oberlin College"
0,"Joseph D Condon ","Trustee",2017-06-01,2017,"Oberlin College"
803070,"Marvin Krislov ","President",2016-06-01,2016,"Oberlin College"
536242,"Jainen Thayer ","Chief Investment Officer",2016-06-01,2016,"Oberlin College"
264454,"Michael L Frandsen ","Vp For Finance",2016-06-01,2016,"Oberlin College"
254170,"William E Barlow ","Vp Of Devel./Alumni Affairs",2016-06-01,2016,"Oberlin College"
235848,"Marcia E Miller ","Director Of Investments",2016-06-01,2016,"Oberlin College"
229825,"Timothy E Elgren ","Dean Of Arts & Sciences",2016-06-01,2016,"Oberlin College"
225512,"Andrea E Kalyn ","Dean Of Conservatory",2016-06-01,2016,"Oberlin College"
207175,"Sandhya L Subramanian ","Vp, General Counsel & Secy.",2016-06-01,2016,"Oberlin College"
192401,"Harry N Hirsch ","Professor",2016-06-01,2016,"Oberlin College"
191155,"Mark R Bates ","Assoc. Vp For Finance",2016-06-01,2016,"Oberlin College"
190900,"Clayton R Koppes ","Professor",2016-06-01,2016,"Oberlin College"
185858,"Debra J Chermonte ","Dean Of Admissions & Fin.aid",2016-06-01,2016,"Oberlin College"
183729,"Michael M Nolan ","Assoc Vp Devel/Dir Princ Gift",2016-06-01,2016,"Oberlin College"
182601,"Steven F Wojtal ","Professor",2016-06-01,2016,"Oberlin College"
180635,"Eric Estes ","Vp/Dean-Student Life&Svcs",2016-06-01,2016,"Oberlin College"
177704,"John E Bucher ","Chief Technology Officer",2016-06-01,2016,"Oberlin College"
110875,"Heidi Pycraft ","Controller",2016-06-01,2016,"Oberlin College"
0,"Clyde S Mcgregor ","Trustee",2016-06-01,2016,"Oberlin College"
0,"Neil S Barsky ","Trustee",2016-06-01,2016,"Oberlin College"
0,"Charles S Birenbaum ","Trustee",2016-06-01,2016,"Oberlin College"
0,"Karen Buck Burgess ","Trustee",2016-06-01,2016,"Oberlin College"
0,"T Christopher Canavan ","Trustee",2016-06-01,2016,"Oberlin College"
0,"Amy Chen ","Trustee",2016-06-01,2016,"Oberlin College"
0,"Joseph D Condon ","Trustee",2016-06-01,2016,"Oberlin College"
0,"Thomas F Cooper ","Trustee",2016-06-01,2016,"Oberlin College"
616595,"Jainen Thayer ","Chief Investment Officer",2015-06-01,2015,"Oberlin College"
437246,"Marvin Krislov ","President",2015-06-01,2015,"Oberlin College"
254890,"Ronald R Watts ","Spec Asst, Business Develop",2015-06-01,2015,"Oberlin College"
237641,"William E Barlow ","Vp Of Devel./Alumni Affairs",2015-06-01,2015,"Oberlin College"
233149,"Marcia E Miller ","Director Of Investments",2015-06-01,2015,"Oberlin College"
222636,"Andrea E Kalyn ","Dean Of Conservatory",2015-06-01,2015,"Oberlin College"
200977,"Sandhya L Subramanian ","Vp, General Counsel&Secy.",2015-06-01,2015,"Oberlin College"
185712,"Mark R Bates ","Assoc Vp For Finance",2015-06-01,2015,"Oberlin College"
183581,"Harry N Hirsch ","Professor",2015-06-01,2015,"Oberlin College"
181129,"Debra J Chermonte ","Dean Of Adm.&Fin.aid",2015-06-01,2015,"Oberlin College"
179740,"Clayton R Koppes ","Professor",2015-06-01,2015,"Oberlin College"
178742,"Michael M Nolan ","Assoc Vp Dev&Dir Prin Gift",2015-06-01,2015,"Oberlin College"
172903,"John E Bucher ","Chief Technology Officer",2015-06-01,2015,"Oberlin College"
170962,"Eric S Estes ","Vp&Dean-Stu.life&Svcs",2015-06-01,2015,"Oberlin College"
164747,"Joyce K Babyak ","Acting Dean/Assoc Dean A&S",2015-06-01,2015,"Oberlin College"
138996,"Michael L Frandsen ","Vp For Finance",2015-06-01,2015,"Oberlin College"
117903,"Timothy E Elgren ","Dean Of Arts & Sciences",2015-06-01,2015,"Oberlin College"
107300,"Heidi Pycraft ","Controller",2015-06-01,2015,"Oberlin College"
0,"Clyde S Mcgregor ","Trustee",2015-06-01,2015,"Oberlin College"
0,"Neil S Barsky ","Trustee",2015-06-01,2015,"Oberlin College"
0,"Charles S Birenbaum ","Trustee",2015-06-01,2015,"Oberlin College"
0,"Karen Buck Burgess ","Trustee",2015-06-01,2015,"Oberlin College"
0,"T Christopher Canavan ","Trustee",2015-06-01,2015,"Oberlin College"
0,"Amy Chen ","Trustee",2015-06-01,2015,"Oberlin College"
0,"Joseph D Condon ","Trustee",2015-06-01,2015,"Oberlin College"
503065,"Jainen A Thayer ","Chief Investment Officer",2014-06-01,2014,"Oberlin College"
418770,"Marvin Krislov ","President",2014-06-01,2014,"Oberlin College"
272119,"Ronald R Watts ","Vp For Finance",2014-06-01,2014,"Oberlin College"
227575,"Marcia E Miller ","Director Of Investments",2014-06-01,2014,"Oberlin College"
216589,"William E Barlow ","Vp Of Devel./Alumni Affairs",2014-06-01,2014,"Oberlin College"
206677,"David W Orr ","Professor",2014-06-01,2014,"Oberlin College"
196408,"Sandhya L Subramanian ","Vp, General Counsel&Secy.",2014-06-01,2014,"Oberlin College"
176835,"Harry N Hirsch ","Professor",2014-06-01,2014,"Oberlin College"
176210,"Debra J Chermonte ","Dean Of Adm.&Fin.aid",2014-06-01,2014,"Oberlin College"
173936,"Michael M Nolan ","Assoc Vp Devel&Dir Princ Gift",2014-06-01,2014,"Oberlin College"
173318,"Clayton R Koppes ","Professor",2014-06-01,2014,"Oberlin College"
173207,"Mark R Bates ","Assoc Vp For Finance",2014-06-01,2014,"Oberlin College"
167886,"John E Bucher ","Chief Technology Officer",2014-06-01,2014,"Oberlin College"
159397,"Eric S Estes ","Vp&Dean-Stu.life&Svcs",2014-06-01,2014,"Oberlin College"
149487,"Joyce K Babyak ","Dean Of Arts & Sciences",2014-06-01,2014,"Oberlin College"
145591,"Andrea E Kalyn ","Dean Of Conservatory",2014-06-01,2014,"Oberlin College"
137560,"David H Stull ","Former Dean Of Conservatory",2014-06-01,2014,"Oberlin College"
113098,"Sean M Decatur ","Former Dean Of Arts&Sciences",2014-06-01,2014,"Oberlin College"
36080,"Heidi Pycraft ","Controller",2014-06-01,2014,"Oberlin College"
0,"Clyde S Mcgregor ","Trustee",2014-06-01,2014,"Oberlin College"
0,"Neil S Barsky ","Trustee",2014-06-01,2014,"Oberlin College"
0,"Karen Buck Burgess ","Trustee",2014-06-01,2014,"Oberlin College"
0,"T Christopher Canavan ","Trustee",2014-06-01,2014,"Oberlin College"
0,"Amy Chen ","Trustee",2014-06-01,2014,"Oberlin College"
0,"Joseph D Condon ","Trustee",2014-06-01,2014,"Oberlin College"
759138,"Amos Himmelstein ","Vp For Finance/ Coo/Treasurer",2022-06-01,2022,"Occidental College"
712981,"Harry J Elam Jr ","President/Ex-Officio",2022-06-01,2022,"Occidental College"
374357,"Jonathan A Veitch ","Former President; Professor",2022-06-01,2022,"Occidental College"
337015,"Charles Cardillo ","Vp For Institutional Advancement",2022-06-01,2022,"Occidental College"
276173,"Wendy Sternberg ","Vp For Academic Affairs/ Dean Of The College",2022-06-01,2022,"Occidental College"
237247,"Michael Hill ","Professor",2022-06-01,2022,"Occidental College"
235193,"Marty Sharkey ","Vp For Communications And Institutional Initiative",2022-06-01,2022,"Occidental College"
229524,"Elizabeth Kennedy ","Sr.advisor, Giving",2022-06-01,2022,"Occidental College"
222513,"James Uhrich ","Vp For Its And Cio",2022-06-01,2022,"Occidental College"
215109,"Robert Flot ","Vp For Student Affairs/ Dean Of Students",2022-06-01,2022,"Occidental College"
193797,"Barbara Valiente ","Assistant Treasurer",2022-06-01,2022,"Occidental College"
190328,"Kristi Allen ","Avp, Institutional Planning",2022-06-01,2022,"Occidental College"
184592,"Salvador C Fernandez ","Professor",2022-06-01,2022,"Occidental College"
180031,"Vincent Cuseo ","Vp/Dean Thru 6/30/21",2022-06-01,2022,"Occidental College"
147701,"Marsha Schnirring ","Secretary",2022-06-01,2022,"Occidental College"
121550,"Kerry Thompson ","Former Interim Dean Of The College",2022-06-01,2022,"Occidental College"
93342,"David T Carrreon Bradley ","Vp For Equity & Chief Diversity Officer",2022-06-01,2022,"Occidental College"
0,"Stephen Rountree ","Chair",2022-06-01,2022,"Occidental College"
0,"Dave Berkus ","Board Vice-Chair/Trustee",2022-06-01,2022,"Occidental College"
0,"David Anderson ","Trustee",2022-06-01,2022,"Occidental College"
0,"Olamide Ajose ","Trustee",2022-06-01,2022,"Occidental College"
0,"Magdalena Arenas Md ","Trustee",2022-06-01,2022,"Occidental College"
0,"Carl Ballton ","Trustee",2022-06-01,2022,"Occidental College"
0,"Coit Blacker Phd ","Board Vice-Chair/Trustee",2022-06-01,2022,"Occidental College"
0,"John Branca ","Trustee",2022-06-01,2022,"Occidental College"
1472133,"Jonathan Veitch Phd ","Former President Thru 6/30/20",2021-06-01,2021,"Occidental College"
372814,"Harry J Elam Jr ","President/Ex-Officio As Of 7/1/20",2021-06-01,2021,"Occidental College"
344277,"Charles Cardillo ","Vp For Institutional Advancement",2021-06-01,2021,"Occidental College"
291314,"Amos Himmelstein ","Vp For Finance/ Coo/Treasurer",2021-06-01,2021,"Occidental College"
272615,"Wendy Sternberg ","Vp For Academic Affairs/ Dean Of The College",2021-06-01,2021,"Occidental College"
259193,"Jaime Hoffman ","Director Of Athletics Thru 3/15/20",2021-06-01,2021,"Occidental College"
236946,"Vincent Cuseo ","Vp/Dean",2021-06-01,2021,"Occidental College"
226818,"Elizabeth Kennedy ","Sr.advisor, Giving",2021-06-01,2021,"Occidental College"
212015,"Robert Flot ","Vp For Student Affairs/ Dean Of Students",2021-06-01,2021,"Occidental College"
203623,"Marty Sharkey ","Vp For Communications And Institutional Initiative",2021-06-01,2021,"Occidental College"
203368,"James Uhrich ","Vp For Its And Cio",2021-06-01,2021,"Occidental College"
198050,"Derek Shearer ","Professor",2021-06-01,2021,"Occidental College"
191858,"Alec J Schramm ","Professor",2021-06-01,2021,"Occidental College"
188348,"Barbara Valiente ","Assistant Treasurer",2021-06-01,2021,"Occidental College"
187811,"Randy Glazer ","Assoc. Vp For Human Resources",2021-06-01,2021,"Occidental College"
144013,"Marsha Schnirring ","Secretary",2021-06-01,2021,"Occidental College"
120146,"Kerry Thompson ","Former Interim Dean Of The College",2021-06-01,2021,"Occidental College"
0,"Alan Freeman ","Trustee",2021-06-01,2021,"Occidental College"
0,"Alison Hawkins ","Trustee",2021-06-01,2021,"Occidental College"
0,"Anne Cannon ","Trustee",2021-06-01,2021,"Occidental College"
0,"Arthur Peck ","Trustee",2021-06-01,2021,"Occidental College"
0,"Bob Johnson ","Trustee",2021-06-01,2021,"Occidental College"
0,"Bonnie Mills ","Trustee",2021-06-01,2021,"Occidental College"
0,"Bradley Fauvre ","Trustee",2021-06-01,2021,"Occidental College"
0,"Carl Ballton ","Trustee",2021-06-01,2021,"Occidental College"
658485,"Jonathan Veitch Phd ","President/Ex-Officio",2020-06-01,2020,"Occidental College"
354507,"Charles Cardillo ","Vp For Institutional Advancement",2020-06-01,2020,"Occidental College"
298738,"Amos Himmelstein ","Vp For Finance/ Coo/Treasurer",2020-06-01,2020,"Occidental College"
263643,"Wendy Sternberg ","Vp For Academic Affairs/ Dean Of The College",2020-06-01,2020,"Occidental College"
254250,"Elizabeth Kennedy ","Sr. Advisor, Principal Giving",2020-06-01,2020,"Occidental College"
238556,"Vincent Cuseo ","Vp For Enrollment/Dean Of Admission",2020-06-01,2020,"Occidental College"
232027,"Marty Sharkey ","Vp For Communications And Institutional Initiative",2020-06-01,2020,"Occidental College"
224296,"Derek Shearer ","Professor",2020-06-01,2020,"Occidental College"
219018,"Robert Flot ","Vp For Student Affairs/ Dean Of Students",2020-06-01,2020,"Occidental College"
210314,"Rhonda Brown - Thru 7119 ","Vp For Inclusion And Equity/Chief Diversity Office",2020-06-01,2020,"Occidental College"
194008,"James Uhrich - As Of 10419 ","Vp For Its And Cio",2020-06-01,2020,"Occidental College"
191859,"Peter Dreier ","Professor",2020-06-01,2020,"Occidental College"
188434,"Eric Frank ","Professor",2020-06-01,2020,"Occidental College"
185001,"Kristi Allen ","Avp, Institutional Planning",2020-06-01,2020,"Occidental College"
184103,"Barbara Valiente ","Assistant Treasurer",2020-06-01,2020,"Occidental College"
163650,"Erica O'neal Howard ","Former Interim Dean Of Students",2020-06-01,2020,"Occidental College"
152011,"Marsha Schnirring ","Secretary",2020-06-01,2020,"Occidental College"
147236,"Samantha Sandman - Thru 81619 ","Assistant Secretary",2020-06-01,2020,"Occidental College"
115971,"Kerry Thompson ","Former Interim Dean Of The College",2020-06-01,2020,"Occidental College"
0,"Stephen Rountree ","Chair",2020-06-01,2020,"Occidental College"
0,"Dave Berkus ","Vice-Chair",2020-06-01,2020,"Occidental College"
0,"David Burcham ","Vice-Chair",2020-06-01,2020,"Occidental College"
0,"Gloria Duffy ","Vice-Chair",2020-06-01,2020,"Occidental College"
0,"John Power ","Vice-Chair",2020-06-01,2020,"Occidental College"
0,"Alan Freeman ","Trustee",2020-06-01,2020,"Occidental College"
639286,"Jonathan Veitch Phd ","President/Ex-Officio",2019-06-01,2019,"Occidental College"
339224,"Charles Cardillo ","Vp For Institutional Advancement",2019-06-01,2019,"Occidental College"
295209,"Amos Himmelstein ","Vp For Finance/ Coo/Treasurer",2019-06-01,2019,"Occidental College"
265272,"Elizabeth Kennedy ","Sr. Advisor, Principal Giving",2019-06-01,2019,"Occidental College"
232763,"Wendy Sternberg ","Vp For Academic Affairs/ Dean Of The College",2019-06-01,2019,"Occidental College"
229571,"Vincent Cuseo ","Vp For Enrollment/Dean Of Admission",2019-06-01,2019,"Occidental College"
219476,"Derek Shearer ","Professor",2019-06-01,2019,"Occidental College"
213580,"Robert Flot ","Vp For Student Affairs/ Dean Of Students",2019-06-01,2019,"Occidental College"
193435,"Eric Frank ","Professor",2019-06-01,2019,"Occidental College"
189302,"Marty Sharkey ","Vp For Marketing And Communications",2019-06-01,2019,"Occidental College"
183630,"James Uhrich ","Assoc. Vp/Chief Information Officer",2019-06-01,2019,"Occidental College"
182663,"Peter Dreier ","Professor",2019-06-01,2019,"Occidental College"
181818,"Samantha Sandman ","Assistant Secretary",2019-06-01,2019,"Occidental College"
181308,"Rhonda Brown ","Vp For Inclusion And Equity/Chief Diversity Office",2019-06-01,2019,"Occidental College"
179190,"Barbara Valiente ","Assistant Treasurer",2019-06-01,2019,"Occidental College"
160356,"Erica O'neal Howard ","Former Interim Dean Of Students",2019-06-01,2019,"Occidental College"
152046,"Marsha Schnirring ","Secretary",2019-06-01,2019,"Occidental College"
129813,"Kerry Thompson ","Former Interim Vp Academic Affairs",2019-06-01,2019,"Occidental College"
0,"Susan Mallory ","Chair",2019-06-01,2019,"Occidental College"
0,"Dave Berkus ","Vice -Chair",2019-06-01,2019,"Occidental College"
0,"Patricia Alireza ","Trustee",2019-06-01,2019,"Occidental College"
0,"David Anderson ","Trustee",2019-06-01,2019,"Occidental College"
0,"Carl Ballton ","Trustee",2019-06-01,2019,"Occidental College"
0,"Coit Blacker ","Trustee",2019-06-01,2019,"Occidental College"
0,"John Branca ","Trustee",2019-06-01,2019,"Occidental College"
620920,"Jonathan Veitch ","President/Ex-Officio",2018-06-01,2018,"Occidental College"
333670,"Charles Cardillo ","Vp Of Institutional Advancement",2018-06-01,2018,"Occidental College"
284580,"Amos Himmelstein ","Vp Of Finance/Coo/Treasurer",2018-06-01,2018,"Occidental College"
243595,"Elizabeth Kennedy ","Sr. Advisor, Principal Giving",2018-06-01,2018,"Occidental College"
224520,"Vincent Cuseo ","Vp Of Enrollment/Dean Of Admission",2018-06-01,2018,"Occidental College"
215343,"Derek Shearer ","Professor",2018-06-01,2018,"Occidental College"
201619,"Peter Dreier ","Professor",2018-06-01,2018,"Occidental College"
182777,"Eric Frank ","Professor",2018-06-01,2018,"Occidental College"
179279,"James Uhrich ","Assoc. Vp/Chief Information Officer",2018-06-01,2018,"Occidental College"
174262,"Rhonda Brown ","Vp Of Inclusion And Equity/Chief Diversity Officer",2018-06-01,2018,"Occidental College"
173134,"Barbara Valiente ","Assistant Treasurer",2018-06-01,2018,"Occidental College"
172419,"Kerry Thompson ","Former Interim Vp Academic Affairs",2018-06-01,2018,"Occidental College"
167453,"Erica O'neal Howard ","Former Interim Dean Of Students",2018-06-01,2018,"Occidental College"
140616,"Marsha Schnirring ","Secretary",2018-06-01,2018,"Occidental College"
109350,"Wendy Sternberg ","Vp Of Academic Affairs/Dean Of The College",2018-06-01,2018,"Occidental College"
100754,"Robert Flot ","Vp Of Student Affairs/ Dean Of Students",2018-06-01,2018,"Occidental College"
0,"Susan Mallory ","Chair",2018-06-01,2018,"Occidental College"
0,"Christopher Chris Varelas ","Vice-Chair",2018-06-01,2018,"Occidental College"
0,"Dave Berkus ","Vice-Chair",2018-06-01,2018,"Occidental College"
0,"Leslie Trim ","Vice-Chair Thru 5/20/18",2018-06-01,2018,"Occidental College"
0,"Reid Samuelson ","Vice-Chair",2018-06-01,2018,"Occidental College"
0,"Alan Freeman ","Trustee",2018-06-01,2018,"Occidental College"
0,"Anne Cannon ","Trustee",2018-06-01,2018,"Occidental College"
0,"Bonnie Mills ","Trustee",2018-06-01,2018,"Occidental College"
0,"Carl Ballton ","Trustee",2018-06-01,2018,"Occidental College"
603898,"Jonathan Veitch ","President/Ex-Officio",2017-06-01,2017,"Occidental College"
277101,"Amos Himmelstein ","Vice President And Coo",2017-06-01,2017,"Occidental College"
231797,"Elizabeth Kennedy ","Interim Vp Of Institutional Advancement",2017-06-01,2017,"Occidental College"
214025,"Vincent Cuseo ","Vp And Dean Of Admission And Financial Aid",2017-06-01,2017,"Occidental College"
212149,"Derek Shearer ","Professor",2017-06-01,2017,"Occidental College"
196284,"Leora Freedman ","Secretary Of The College And General Counsel",2017-06-01,2017,"Occidental College"
189645,"Peter Dreier ","Professor",2017-06-01,2017,"Occidental College"
182527,"John Swift ","Professor",2017-06-01,2017,"Occidental College"
175242,"James Uhrich ","Associate Vp And Chief Information Officer",2017-06-01,2017,"Occidental College"
174311,"Erica O'neal Howard ","Interim Dean Of Students",2017-06-01,2017,"Occidental College"
171571,"Eric Frank ","Professor",2017-06-01,2017,"Occidental College"
171090,"Kerry Thompson ","Interim Vp Of Academic Affairs",2017-06-01,2017,"Occidental College"
170333,"Rhonda Brown ","Vp For Equity And Inclusion/Chief Diversity Office",2017-06-01,2017,"Occidental College"
156378,"Charlie Cardillo ","Vp Of Institutional Advancement",2017-06-01,2017,"Occidental College"
134911,"Jorge Gonzalez Thru 06302016 ","Vp Of Academic Affairs And Dean Of Th",2017-06-01,2017,"Occidental College"
0,"Dave Berkus ","Vice-Chair",2017-06-01,2017,"Occidental College"
0,"Ronald Hahn ","Vice-Chair",2017-06-01,2017,"Occidental College"
0,"Susan Mallory ","Chair",2017-06-01,2017,"Occidental College"
0,"Reid Samuelson ","Vice-Chair",2017-06-01,2017,"Occidental College"
0,"Leslie Trim ","Vice-Chair",2017-06-01,2017,"Occidental College"
0,"Patricia Alireza ","Trustee",2017-06-01,2017,"Occidental College"
0,"David Anderson ","Trustee",2017-06-01,2017,"Occidental College"
0,"Carl Ballton ","Trustee",2017-06-01,2017,"Occidental College"
0,"Coit Chip Blacker ","Trustee",2017-06-01,2017,"Occidental College"
0,"John Branca ","Trustee",2017-06-01,2017,"Occidental College"
610183,"Jonathan Veitch ","President",2016-06-01,2016,"Occidental College"
341286,"Barbara Avery Thru 102015 ","Vp Of Student Affairs/Dean",2016-06-01,2016,"Occidental College"
271797,"Amos R Himmelstein ","Vp & Coo Finance, Planning And Ops",2016-06-01,2016,"Occidental College"
246755,"Jorge Gonzalez ","Vp Of Academic Affairs/Dean",2016-06-01,2016,"Occidental College"
212070,"Vincent Cuseo ","Vp & Dean Of Admiss. & Fin Aid",2016-06-01,2016,"Occidental College"
208151,"Shelby Radcliffe ","Vp Of Institutional Advancement",2016-06-01,2016,"Occidental College"
205442,"Derek Shearer ","Professor",2016-06-01,2016,"Occidental College"
177760,"John Swift ","Professor",2016-06-01,2016,"Occidental College"
176955,"Leora Freedman ","Gen Counsel & Secretary To The Board",2016-06-01,2016,"Occidental College"
173779,"Rozita Afar Thru 102015 ","Secretary Of The Board",2016-06-01,2016,"Occidental College"
173180,"Peter Dreier ","Professor",2016-06-01,2016,"Occidental College"
171878,"Eric Frank ","Professor",2016-06-01,2016,"Occidental College"
169047,"Sanjeev Khagram ","Professor",2016-06-01,2016,"Occidental College"
156259,"Erica O'neal ","Interim Dean Of Students",2016-06-01,2016,"Occidental College"
0,"Patricia Lebre Alireza ","Trustee",2016-06-01,2016,"Occidental College"
0,"David H Anderson ","Trustee",2016-06-01,2016,"Occidental College"
0,"Carl A Ballton ","Trustee",2016-06-01,2016,"Occidental College"
0,"David W Berkus ","Vice Chair",2016-06-01,2016,"Occidental College"
0,"Coit Blacker ","Trustee",2016-06-01,2016,"Occidental College"
0,"John G Branca ","Trustee",2016-06-01,2016,"Occidental College"
0,"Eileen Anisgarten Brown ","Trustee",2016-06-01,2016,"Occidental College"
0,"Christopher C Calkins ","Chair",2016-06-01,2016,"Occidental College"
0,"Anne Cannon ","Trustee",2016-06-01,2016,"Occidental College"
0,"Jennifer Crosthwaite ","Trustee Thru 6/30/16",2016-06-01,2016,"Occidental College"
0,"Bill Davis ","Trustee",2016-06-01,2016,"Occidental College"
585583,"Jonathan Veitch ","President",2015-06-01,2015,"Occidental College"
262552,"Amos R Himmelstein ","Vp For Finance & Planning",2015-06-01,2015,"Occidental College"
231516,"Jorge Gonzalez ","Vp Of Academic Affairs/Dean",2015-06-01,2015,"Occidental College"
208198,"Vincent Cuseo ","Vp & Dean Of Admiss. & Financial Aid",2015-06-01,2015,"Occidental College"
203495,"Shelby Radcliffe ","Vp Of Institutional Advancement",2015-06-01,2015,"Occidental College"
200052,"Derek Shearer ","Professor",2015-06-01,2015,"Occidental College"
194932,"Barbara Avery ","Vp Of Student Affairs/Dean",2015-06-01,2015,"Occidental College"
188566,"Brett Schraeder Thru 62015 ","Assoc Vp Of Strategic Initiatives",2015-06-01,2015,"Occidental College"
172442,"John Swift ","Professor",2015-06-01,2015,"Occidental College"
169174,"Irene Girton ","Professor",2015-06-01,2015,"Occidental College"
168629,"Peter Dreier ","Professor",2015-06-01,2015,"Occidental College"
115518,"Rozita Afar Thru 102015 ","Secretary Of The Board",2015-06-01,2015,"Occidental College"
0,"Peter Adamson ","Trustee Thru 7/2015",2015-06-01,2015,"Occidental College"
0,"Patricia Lebre Alireza ","Trustee",2015-06-01,2015,"Occidental College"
0,"David H Anderson ","Trustee",2015-06-01,2015,"Occidental College"
0,"Carl A Ballton ","Trustee",2015-06-01,2015,"Occidental College"
0,"David W Berkus ","Vice Chair",2015-06-01,2015,"Occidental College"
0,"Coit Blacker ","Trustee",2015-06-01,2015,"Occidental College"
0,"John G Branca ","Trustee",2015-06-01,2015,"Occidental College"
0,"Eileen Anisgarten Brown ","Trustee",2015-06-01,2015,"Occidental College"
0,"Christopher C Calkins ","Chair",2015-06-01,2015,"Occidental College"
0,"Anne Cannon ","Trustee",2015-06-01,2015,"Occidental College"
0,"Don R Conlan ","Trustee Thru 7/2015",2015-06-01,2015,"Occidental College"
0,"Jennifer Crosthwaite ","Trustee",2015-06-01,2015,"Occidental College"
0,"Bill Davis ","Trustee",2015-06-01,2015,"Occidental College"
575784,"Jonathan Veitch ","President",2014-06-01,2014,"Occidental College"
250606,"Amos R Himmelstein ","Vp For Finance & Planning",2014-06-01,2014,"Occidental College"
239678,"Jorge Gonzalez ","Vp Of Academic Affairs/Dean",2014-06-01,2014,"Occidental College"
203493,"Vincent Cuseo ","Vp & Dean Of Admiss. & Financial Aid",2014-06-01,2014,"Occidental College"
198160,"Shelby Radcliffe ","Vp Of Institutional Advancement",2014-06-01,2014,"Occidental College"
194985,"Barbara Avery ","Vp Of Student Affairs/Dean",2014-06-01,2014,"Occidental College"
193922,"Derek Shearer ","Professor",2014-06-01,2014,"Occidental College"
193486,"Irene Girton ","Professor",2014-06-01,2014,"Occidental College"
185698,"Eric Frank ","Professor",2014-06-01,2014,"Occidental College"
181454,"Brett Schraeder ","Assoc. Vp Of Strategic Initiatives",2014-06-01,2014,"Occidental College"
177835,"Carl Botterud ","General Counsel",2014-06-01,2014,"Occidental College"
117369,"Rozita Afar ","Secretary Of The Board",2014-06-01,2014,"Occidental College"
0,"Peter Adamson ","Trustee",2014-06-01,2014,"Occidental College"
0,"Patricia Lebre Alireza ","Trustee",2014-06-01,2014,"Occidental College"
0,"David H Anderson ","Trustee",2014-06-01,2014,"Occidental College"
0,"Carl A Ballton ","Trustee",2014-06-01,2014,"Occidental College"
0,"David W Berkus ","Vice Chair",2014-06-01,2014,"Occidental College"
0,"Coit Blacker ","Trustee",2014-06-01,2014,"Occidental College"
0,"John G Branca ","Trustee",2014-06-01,2014,"Occidental College"
